orcamento_ate2000,orcamento_2000_5000,orcamento_5000_10000,orcamento_mais10000,duracao_curta,duracao_media,duracao_longa,duracao_muito_longa,clima_frio,clima_ameno,clima_quente,clima_arido,paisagem_montanha,paisagem_praia,paisagem_historica,paisagem_moderna,estilo_descanso,estilo_cultura,estilo_aventura,estilo_gastronomia,idioma_portugues,idioma_ingles,idioma_espanhol,idioma_qualquer,regiao_america,regiao_europa,regiao_asia,regiao_africa_oceania,cultura_local_parecida,cultura_local_diferente,cultura_local_forte,cultura_local_misturada,interesse_cultura_alto,interesse_cultura_medio,interesse_cultura_baixo,interesse_cultura_nenhum,fama_pais_famoso,fama_pais_diferente,fama_pais_equilibrado,fama_pais_tanto_faz,comida_exotica,comida_familiar,comida_variada,comida_indiferente,liberdade_aberta,liberdade_regras,liberdade_visual,liberdade_evitar,companhia_sozinho,companhia_casal,companhia_familia,companhia_amigos,perfil
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sol e Praia
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sol e Praia
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sol e Praia
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sol e Praia
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sol e Praia
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sol e Praia
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sol e Praia
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sol e Praia
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sol e Praia
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sol e Praia
